Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Artificial Intelligence Engineer,Davidayo,Remote,Not Provided,Not Provided,"We also need assistance with getting clients/customers to patronize our business. check out the links below*.
This role requires 30-40 hours a week.",https://www.indeed.com/rc/clk?jk=9a0ec5ab3123ff25&bb=9W2z7Z1sTYBFLBa2mlWQu1VxVYXIs2S1mVrWGSkTFub6C2Yb1r9mmjyqZGBiV1KzYXj3b6nh4wIJpi6pKRCU_x6ZsRNwyGwjaiqAeYBg_3W3ewiHVU7aLUbwMDgqEjTu&xkcb=SoCV67M3-seXA_yU9Z0LbzkdCdPP&fccid=96fc08d3767f5f67&cmp=Davidayo&ti=Business+Intelligence+Developer&vjs=3
Artificial Intelligence Specialist,SNAPtivities,Remote,$15 - $25 an hour,Part-time +2,"In this role, you will play a key role in developing and implementing AI solutions to enhance our operations, improve decision-making, and automate tasks.",https://www.indeed.com/rc/clk?jk=2ae39d625ed4e6bf&bb=9W2z7Z1sTYBFLBa2mlWQu7VRDVYYZUsFLT4vFR6QeRctmY2HiSE0LSXMzoAegbq61RNuRIziyMOTVuZ1BXVUfA_nLx34bC3s0DgdReCYwJ8KlQ2UgBpf66KnUf9zuhxf&xkcb=SoAh67M3-seXA_yU9Z0KbzkdCdPP&fccid=c57f616a4a2a81c0&cmp=Snaptivities&ti=Intelligence+Specialist&vjs=3
Junior Software Sales,QuerySurge,Remote,"$80,000 - $160,000 a year",Full-time,"Base Pay:* $80,000 per year + commission.
Job Type:* Full-time with benefits.
This position is targeted at both existing sales professionals and individuals…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJUihUyc0IIsWIm07c4gA3gjMAA7vN2_UX8cvcV0nP8bHvtt0k3XbUcaoALxQnw7YMSZorEt3pf2ArsQq1kh0CzUY9VNeiVnn1Mmd7vWVt13PaipUExaUKHB4SJ0HfIh_QKVLZtxi7U9bq_1mwQKGWp88hEU0Wmqorvf_MCkSTT-AeoyRVv3F9M4-bCltBcRDUxsUcAq1LLJniifzvLSLM0CC5kjWJ47q1YsblfPzwDipAhHV1UmJhI8bndZP4p-vTS39Vbc_s8B44b-aPLH3aSXPLPMJKgQEGZhejD3gezPiGjEuhcOCpwKO1vRBbf9LDCpfMwdGjQy-7b_LhkzzbEfQ9LqmgylCY_YbUV8l93ZaoyCkISED0RTxOqaJo2g4hzB-Ly4cJaKhrTlSHQWyRH2FKraXDGwcxIwbNAdglu4Ewmfp6VTrWunGZoEpq91Pj0rWp-wCDrhP40X-rTqHMu4JqdwA0eMrgqXBWYPPaw5krhhhFoeG7YIkPRz-Sobtb3nCG7gu54bzbSsDsLxVTA1p9jBP_Z35gEw7SimKbntCacYbywg1-XxR6JQBrVclboa7KV1AWA-nngFcK9vyfHxRPy66jrVq7a9bMzEWGTWNbz56Zd7EDAFX_YvixdZGgbrfKZC9eMC1jNI6OrizYn9c3QyBeMAQ=&xkcb=SoBI6_M3-seXA_yU9Z0JbzkdCdPP&camk=4HOcmqOLYrCCExpi3uT8iw==&p=2&fvj=1&vjs=3
Software Developer (Natural Language Processing),SIL International,Remote,Not Provided,Not Provided,A Software Developer (Natural Language Processing) at SIL is responsible for using their knowledge of programming languages and NLP to design software programs.,https://www.indeed.com/rc/clk?jk=686b1a23d78ccd0b&bb=9W2z7Z1sTYBFLBa2mlWQu8XrjQ_qmkykd44VIMsI_DxA3GYGQGlY1s0Q6RWVP2ImqSGnUPnRbODPACYO6hLwE10uIwvwFcMX-ZXg49rsr-60PUcxgk9J4MsgPslzStOo&xkcb=SoAI67M3-seXA_yU9Z0IbzkdCdPP&fccid=8a984747a64d601c&vjs=3
Health Equity Clinical Specialist,Google,"New York, NY (Chelsea area)",Not Provided,Full-time,Our teams are applying our expertise and technology to improve health outcomes globally – with high-quality information and tools to help people manage their…,https://www.indeed.com/rc/clk?jk=3dbb5a8e15c383ea&bb=9W2z7Z1sTYBFLBa2mlWQuwJaV5ppWcOoPDC4w3gGVXfoTQJPIqfT2DprT4Fsm9WQJoe3lvcEjUfi0qwykhLEmPcHmF-Mr48ccY2fvNuL5v7yO5Lf58HCmA%3D%3D&xkcb=SoCG67M3-seXA_yU9Z0PbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Contract Technical Writer,Resilio Inc.,Remote,$36.12 - $39.60 an hour,Contract +1,"The ideal candidate will be responsible for creating technical documentation and manuals for our products and services.
Create templates for new article types.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbKC2WupX5fCaJmvp9vVVYd68aoqR5RI8fCfITtK0ZX0bIBbEIOcBBzYN6aO1bD2sUUR2oSAzy4UmqkK1_F5ej9zR7pSJvebjSxoAGxtWlMAsrwtdOOS01X2Jkny55P6OVzmmDRO4dZK14M9TcctHpJLSk2s2V93_etsL3hTRqGQIewzqeb9GFx9OMw4SHRbIC9AdQEMtvuQmWVB_G4Pz6jz3oySDPW1lS_BWlasmbeObbaug_DwqQmOyGzRmeTcSLGgf5BzhpdHE4_dWqJcDpEpbrGfOhUSieq6tDw9WdjFdYnmrVTxQX9ccvxMcfMlGFoozni5HpIh8Fw_nOAvNr0ly7RDLrdKj4e-GJwyLITnXpQNTiPuX5JTVRzrXL-6TX2pXnYPWkhzsiVX2kAKVBRx5fWixWH5W13mgROA0GCTRQeK7aiVus7OdSPlRcMlgAKlUKTSV3RegkJB5C5JtN49cmgP35TBw81MINflIv6CursKgN4H2Fr7Hz-gxfZladZHfyvxmpHnER2tiGfU1oG2B0t_tL5m-1oN3W60ITIMIYq1WeCFCNDOk2EtUu3EnzSD8zHOZdBzwxtmWxr_olkqQ8v2V7gnNeOZsQHHp5Opeuryh6BZohVDF07g3B2Kdt1YkpXeDbfSs5D-Pf-XTd9IKyei_Z3zM=&xkcb=SoDG6_M3-seXA_yU9Z0ObzkdCdPP&camk=nUmJqO2E8rjZipTJ-w5LyA==&p=5&fvj=1&vjs=3
"AIML - Head of Technical Production, AI Studio",Apple,"Culver City, CA","$190,200 - $285,900 a year",Not Provided,The AI Studio in Apple’s AIML org is dedicated to developing top-quality user experiences by merging responsible AI practices and technologies with human…,https://www.indeed.com/rc/clk?jk=1cc50c86eafe5799&bb=9W2z7Z1sTYBFLBa2mlWQu394xHflGf2zhMSQzhCqKXHFpoNQz5GWKgXq2aY0OsXeQVQbRyqg2n2d8BhbQKP48sWW8SuHHeiSoxi-hif8RPsDIWl3a2B3nw%3D%3D&xkcb=SoCv67M3-seXA_yU9Z0NbzkdCdPP&fccid=c1099851e9794854&vjs=3
Online Adjunct Faculty - Artificial Intelligence,Southern New Hampshire University,Remote,Not Provided,Not Provided,"At least 2 years of full-time experience working in the artificial intelligence field.
Provide a high level of student outreach and connect with students,…",https://www.indeed.com/rc/clk?jk=5a887301d01726c0&bb=9W2z7Z1sTYBFLBa2mlWQuwKTuECS2ZSDDBeLv3vp4E1iKecJeDRYVL2HRY1mFD3mgtDq9_1vsQBstHICuXcPmRP1mIWFIjBUuxSeK524Az-0VdtreKIKBOgxPPCxomZQ&xkcb=SoAb67M3-seXA_yU9Z0MbzkdCdPP&fccid=10119bc008fd8b8d&vjs=3
Writer - Corporate Blog,NVIDIA,"Santa Clara, CA 95051","$132,000 - $270,250 a year",Full-time,"We are seeking someone who demonstrates strong storytelling abilities, excellent writing and editing skills, a deep understanding of the tech ecosystem, and a…",https://www.indeed.com/rc/clk?jk=f101f2934a449b41&bb=9W2z7Z1sTYBFLBa2mlWQu6XxTUPksm3R9Rr4NrYuTRfKirQdym6Fz6ihue5nxTdwfIlbUICtRVUhyAoUlqprCBlzO_MrLriGUczP3m4biI3Yyyrs-8kicA%3D%3D&xkcb=SoDy67M3-seXA_yU9Z0DbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
"Scientist, Computational Biology",Insmed Incorporated,"Remote in Lebanon, NH 03756","$89,000 - $119,267 a year",Not Provided,Experience applying artificial intelligence and machine learning methods is required; developing and improving such methods is beneficial.,https://www.indeed.com/rc/clk?jk=bd1b7a3c57a51cf7&bb=9W2z7Z1sTYBFLBa2mlWQu6_ZPeuA57BbiZLYpt6BNDBSMXCXTN6Yh7M6Bb9VmPgv9ICCUVwr80iqu3nU87N2m3dnx_lHA470QLJSxYSHUglSxd6CWOA27BQ_4j5D_gCM&xkcb=SoBG67M3-seXA_yU9Z0CbzkdCdPP&fccid=d934b14d4b0f10e9&vjs=3
